UniqueID,Authors,Title,Publication Date (Month and Year),Notes,included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"Mendez-Toribio, Moises; Maria Gonzalez-Di Pierro, Ana; Quesada, Mauricio; Benitez-Malvido, Julieta",Regeneration beneath a dioecious tree species (Spondias purpurea) in a Mexican tropical dry forest,May-14,Paper looks at density of woody seedlings (including shrubs) and does have measurements for density (With respect to parent woody species). Also mentions facilitative effects,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"Mullah, Collins Jared Amwatta; Klanderud, Kari; Totland, Orjan; Kigomo, Bernard",Relationships between the density of two potential restoration tree species and plant species abundance and richness in a degraded Afromontane forest of Kenya,Mar-14,Paper looks at the association between shrub richness and density in given areas. Has A LOT on density,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"Cipriotti, P. A.; Aguiar, M. R.",Resource partitioning and interactions enable coexistence in a grass-shrub steppe,Oct-10,Excellent paper that follows all criteria. Has shrub and shrub density in it with facilitation as a main point of the paper. Excellent to use,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,"Walker, Lawrence R.; Vrooman, Steven S.; Thompson, Daniel B.","Rodent mounds facilitate shrubs and shrubs inhibit seedlings in the Mojave Desert, USA",Feb-15,Excellent paper looking at how rodunt mounds facilitate shrubs. Looks in depth at densities of the shrubs and has data and figures to support,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,"Orrock, John L.; Christopher, Cory C.; Dutra, Humberto P.","Seed bank survival of an invasive species, but not of two native species, declines with invasion",Apr-12,Does glance into the idea of shrub density but a bit more forcus on the seeds of the species themselves,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,"Bustamante-Sanchez, Marcela A.; Armesto, Juan J.","Seed limitation during early forest succession in a rural landscape on Chiloe Island, Chile: implications for temperate forest restoration",Oct-12,Again more focus on see density itself than anything. Not the greatest,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,"Koyama, A.; Sasaki, T.; Jamsran, U.; Okuro, T.",Shrub cover regulates population dynamics of herbaceous plants at individual shrub scale on the Mongolian steppe,May-15,Annual density is mentioned as a side thing in this paper but isnt the main focus of it. So density is considered a bit. Not a lot of facilitation mentioned,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,"He, Yuhui; Liu, Xinping; Xie, Zhongkui",SHRUB EFFECTS ON HERBACEOUS VEGETATION VARY WITH GROWTH STAGES AND HERB RELATIVE LOCATION,2014,Paper looks mainly at plant density but does look at shrub density to an extent. Also looks to see if the shrubs facilitate other vegetation near them,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"Madrigal-Gonzalez, Jaime; Kelt, Douglas A.; Meserve, Peter L.; Squeo, Francisco A.; Gutierrez, Julio R.",Shrub-ephemeral plants interactions in semiarid north-central Chile: Is the nurse plant syndrome manifested at the community level?,Mar-16,Paper does look at density of species and connects with facilitative interactions,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,"FRANCOPIZANA, J; FULBRIGHT, TE; GARDINER, DT",SPATIAL RELATIONS BETWEEN SHRUBS AND PROSOPIS-GLANDULOSA CANOPIES,Feb-95,Great paper that looks at shrub density and its association with facilitating other woody shrubs (their establishment of other woody shrubs),y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,"Rolhauser, Andres G.; D'Antoni, Maria J.; Gabriel Gatica, M.; Pucheta, Eduardo",Species-specific influences of shrubs on the non-dormant soil seed bank of native and exotic plant species in central-northern Monte Desert,Feb-13,More focues od density of seed bank and seedlings than the shrubs themselves. Does have some data on it (Maybe use?),n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,"Hunter, John Thomas; Hunter, Vanessa Hewlett",The complex nature of headland shrub encroachment: The case of Headland Zieria (Zieria prostrata),May-17,Very short paper but looks at how shrub density may provide protection to understory species and increase facilitative interactions,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,"Malkinson, D; Kadmon, R",The effects of inter-plant interactions and density-dependent disturbances on vegetation pattern formation,Feb-06,Do not have shrub density as a focus of the study but it is specifically mentioned at various portions of the paper. More focus on density of disturbances than anything. Also looks at facilitative interactions,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,"Lortie, Christopher J.; Gruber, Eva; Filazzola, Alex; Noble, Taylor; Westphal, Michael",The Groot Effect: Plant facilitation and desert shrub regrowth following extensive damage,Jan-18,Facilitation is major component of this paper. Does not specifically look at shrub density itself but does have some mentions of density of shrubs so might be useful for this paper,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,"Jordaan, J. J.","The proposed colonisation sequence of woody species in the Sourish Mixed Bushveld of the Limpopo province, South Africa",2010,Paper looks more at tree density than shrub density so may not be the greatest fit for this.,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,"Yanuarsyah, I.; Suwarno, Y.; Hudjimartsu, S.","The Use of Hotspot Spatial Clustering and Multitemporal Satellite Imagery to Facilitate Peat Land Degradation in West Kalimantan, Indonesia (Case Study in Mensiku Miniwatershed of Kapuas River)",2017,Paper looks at density based spatial clustering. Does mention density in it. Facilitation not heavily mentioned in paper. May not be the greatest to use,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,"Perea, Ramon; Lopez-Sanchez, Aida; Roig, Sonia","The use of shrub cover to preserve Mediterranean oak dehesas: a comparison between sheep, cattle and wild ungulate management",Apr-16,"Density is a main focus of this paper but oak seedling density is, not shrub density",n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,"Duncan, RS; Chapman, CA",Tree-shrub interactions during early secondary forest succession in Uganda,Jun-03,Paper looks as both shrub and tree density and how the 2 affect eachother. Has data within body of text.  Also looks to see if the densities allow for facilitation or inhibition,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,"Segoli, Moran; Ungar, Eugene D.; Giladi, Itamar; Arnon, Amir; Shachak, Moshe",Untangling the positive and negative effects of shrubs on herbaceous vegetation in drylands,Jul-12,Paper looks at herbacious species density with a bit of facilitation mentioned. Not entirely sure if it would be a good fit for the review. Does have some data on herbacious species density,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,"Mendoza-Hernandez, Pedro E.; Orozco-Segovia, Alma; Meave, Jorge A.; Valverde, Teresa; Martinez-Ramos, Miguel",Vegetation recovery and plant facilitation in a human-disturbed lava field in a megacity: searching tools for ecosystem restoration,Jan-13,Looks at density of plant species (including shrubs) and has data for it. Looks at how these densities might play a facilitative role.,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,"Williams, C. Jason; Pierson, Frederick B.; Kormos, Patrick R.; Al-Hamdan, Osama Z.; Nouwakpo, Sayjro K.; Weitz, Mark A.","Vegetation, Hydrologic, and Erosion Responses of Sagebrush Steppe 9 Yr Following Mechanical Tree Removal",Jan-19,Excellent paper that has data on sagebush density and connects it to facilitation. Follows criteria needed.,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,"Belay, Tamrat A.; Moe, Stein R.",Woody dominance in a semi-arid savanna rangeland - Evidence for competitive self-thinning,Nov-12,"Paper does take a look at shrub density (calls it woody density), tree density and plant density. Also mentions facilitation as amain theme of the paper.",y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
